course_url,course_name,degree_type
https://www.essex.ac.uk/courses/PR01000/2/MPhil-Theatre-Studies-Playwriting,Theatre Studies Playwriting,MPhil
https://www.essex.ac.uk/courses/UG01501/1/BA-Drama-and-Creative-Writing,Drama And Creative Writing,BA
https://www.essex.ac.uk/courses/UG00379/1/BA-Sociology-and-Criminology,Sociology And Criminology,BA
https://www.essex.ac.uk/courses/PG00702/2/MA-Organised-Crime-Terrorism-and-Security,Organised Crime Terrorism And Security,MA
https://www.essex.ac.uk/courses/PG01378/1/MA-Sociology-and-Criminology,Sociology And Criminology,MA
https://www.essex.ac.uk/courses/UG00190/2/BA-History-and-Criminology,History And Criminology,BA
https://www.essex.ac.uk/courses/UG01291/1/BA-Criminology-with-Criminal-Law,Criminology With Criminal Law,BA
https://www.essex.ac.uk/courses/UG00089/2/BA-Criminology,Criminology,BA
https://www.essex.ac.uk/courses/PR00892/3/PhD-Criminology,Criminology,PhD
https://www.essex.ac.uk/courses/PG00702/1/MSc-Organised-Crime-Terrorism-and-Security,Organised Crime Terrorism And Security,MSc
https://www.essex.ac.uk/courses/UG01290/1/BA-Criminology-with-Counselling-Skills,Criminology With Counselling Skills,BA
https://www.essex.ac.uk/courses/UG00092/1/BA-Criminology-with-Social-Psychology,Criminology With Social Psychology,BA
https://www.essex.ac.uk/courses/UG00089/1/BA-Criminology,Criminology,BA
https://www.essex.ac.uk/courses/PR00892/2/MPhil-Criminology,Criminology,MPhil
https://www.essex.ac.uk/courses/PR00892/4/PhD-Criminology,Criminology,PhD
https://www.essex.ac.uk/courses/UG00190/1/BA-History-and-Criminology,History And Criminology,BA
https://www.essex.ac.uk/courses/UG01089/1/BA-Journalism-and-Criminology,Journalism And Criminology,BA
https://www.essex.ac.uk/courses/PG00521/1/MA-Criminology,Criminology,MA
https://www.essex.ac.uk/courses/PR00892/1/PhD-Criminology,Criminology,PhD
https://www.essex.ac.uk/courses/PG00808/1/MSc-Optimisation-and-Data-Analytics,Optimisation And Data Analytics,MSc
https://www.essex.ac.uk/courses/PG01404/1/MSc-Data-Science-and-its-Applications,Data Science And Its Applications,MSc
https://www.essex.ac.uk/courses/PR00992/1/PhD-Statistics,Statistics,PhD
https://www.essex.ac.uk/courses/PG01389/1/MSc-Applied-Data-Science,Applied Data Science,MSc
https://www.essex.ac.uk/courses/PG00742/2/MSc-Data-Science,Data Science,MSc
https://www.essex.ac.uk/courses/PR01343/1/PhD-Data-Science,Data Science,PhD
https://www.essex.ac.uk/courses/PR01343/4/PhD-Data-Science,Data Science,PhD
https://www.essex.ac.uk/courses/PG00808/2/Postgraduate-Diploma-Optimisation-and-Data-Analytics,Diploma Optimisation And Data Analytics,Postgraduate
https://www.essex.ac.uk/courses/PG01022/1/MSc-Statistics,Statistics,MSc
https://www.essex.ac.uk/courses/PG00742/1/MSc-Data-Science,Data Science,MSc
https://www.essex.ac.uk/courses/PR00992/4/PhD-Statistics,Statistics,PhD
https://www.essex.ac.uk/courses/UG00278/1/BSc-Statistics,Statistics,BSc
https://www.essex.ac.uk/courses/PR00992/3/MSc-by-Dissertation-Statistics,By Dissertation Statistics,MSc
https://www.essex.ac.uk/courses/PR01343/5/PhD-Data-Science,Data Science,PhD
https://www.essex.ac.uk/courses/PR01343/2/MPhil-Data-Science,Data Science,MPhil
https://www.essex.ac.uk/courses/PR00992/2/MPhil-Statistics,Statistics,MPhil
https://www.essex.ac.uk/courses/UG00097/1/BA-Drama,Drama,BA
https://www.essex.ac.uk/courses/UG01371/1/BA-Film-and-Drama,Film And Drama,BA
https://www.essex.ac.uk/courses/UG01445/2/BA-History-and-Drama,History And Drama,BA
https://www.essex.ac.uk/courses/PR00999/1/PhD-Theatre-Studies,Theatre Studies,PhD
https://www.essex.ac.uk/courses/UG01445/1/BA-History-and-Drama,History And Drama,BA
